collection,sms_txt_dirty,sms_txt_clean,collection_log
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","go jurong point, crazy.. avail bugi n great world la e buffet... cine got amor wat...",1
ham,Ok lar... Joking wif u oni...,ok lar... joke wif u oni...,1
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entri 2 wkli comp win fa cup final tkts 21st may 2005. text fa 87121 receiv entri question(std txt rate)t&c appli 08452810075over18,0
ham,U dun say so early hor... U c already then say...,u dun say earli hor... u c alreadi say...,1
ham,"Nah I don't think he goes to usf, he lives around here though","nah think goe usf, live around though",1
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv","freemsg hey darl 3 week word back! i'd like fun still? tb ok! xxx std chgs send, â£1.50 rcv",0
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak me. treat like aid patent.,1
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell mell (oru minnaminungint nurungu vettam) set callertun callers. press *9 copi friend callertun,1
spam,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner!! valu network custom select receivea â£900 prize reward! claim call 09061701461. claim code kl341. valid 12 hour only.,0
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobil 11 month more? u r entitl updat latest colour mobil camera free! call mobil updat co free 08002986030,0
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","i'm gonna home soon want talk stuff anymor tonight, k? i'v cri enough today.",1
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","six chanc win cash! 100 20,000 pound txt> csh11 send 87575. cost 150p/day, 6days, 16+ tsandc appli repli hl 4 info",0
spam,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","urgent! 1 week free membership â£100,000 prize jackpot! txt word: claim no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",0
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i'v search right word thank breather. promis wont take help grant fulfil promise. wonder bless times.,1
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday will!!,1
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","xxxmobilemovieclub: use credit, click wap link next txt messag click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl",0
