,X_test,y_test,y_pred,y_pred_proba
1078,"Yep, by the pretty sculpture",ham,ham,0.9337280172420709
4028,"Yes, princess. Are you going to make me moan?",ham,ham,0.9739294622047435
958,Welp apparently he retired,ham,ham,0.9532781350585193
4642,Havent.,ham,ham,0.9417967088541933
4674,I forgot 2 ask Ã¼ all smth.. There's a card on da present lei... How? Ã all want 2 write smth or sign on it?,ham,ham,0.9600231940349616
5461,Ok i thk i got it. Then u wan me 2 come now or wat?,ham,ham,0.9896329480415997
4210,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,ham,ham,0.9243803584152634
4216,No dear i was sleeping :-P,ham,ham,0.9691336008621316
1603,Ok pa. Nothing problem:-),ham,ham,0.9742531510313015
1504,Ill be there on  &lt;#&gt;  ok.,ham,ham,0.9875280165296498
1783,My uncles in Atlanta. Wish you guys a great semester.,ham,ham,0.9732940505175467
3465,My phone,ham,ham,0.9700176925055594
5534,Ok which your another number,ham,ham,0.9350278043667909
4267,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,ham,ham,0.9053090755404823
2498,Dai what this da.. Can i send my resume to this id.,ham,ham,0.956981114278134
4259,I am late. I will be there at,ham,ham,0.9849668115976645
147,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,spam,0.24313858731924695
141,"K, text me when you're on the way",ham,ham,0.9338526237236364
4517,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,spam,0.3703929523402663
3053,Please leave this topic..sorry for telling that..,ham,ham,0.9347034060922722
5392,Ooooooh I forgot to tell u I can get on yoville on my phone,ham,ham,0.9312899830539155
2346,"Hi this is yijue, can i meet u at 11 tmr?",ham,ham,0.9530349256933535
1242,"I want to show you the world, princess :) how about europe?",ham,ham,0.9602153900919645
3224,Well that must be a pain to catch,ham,ham,0.9435716404391618
4872,Well. You know what i mean. Texting,ham,ham,0.9690587333922088
3044,Your bill at 3 is Â£33.65 so thats not bad!,ham,ham,0.9400479467680762
1660,"Yeah, where's your class at?",ham,ham,0.9612951715626783
3214,What's ur pin?,ham,ham,0.9143498605739439
501,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham,ham,0.8155615276812183
1827,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",ham,ham,0.9651492859973464
3352,At what time are you coming.,ham,ham,0.9843393468340031
2687,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,ham,ham,0.9792683187794488
1230,Jus ans me lar. U'll noe later.,ham,ham,0.9823080299565189
4,"Nah I don't think he goes to usf, he lives around here though",ham,ham,0.9661550503423908
4507,When are you guys leaving?,ham,ham,0.9612196894672881
726,Got it! It looks scrumptious... daddy wants to eat you all night long!,ham,ham,0.9710392995102756
4323,Sorry . I will be able to get to you. See you in the morning.,ham,ham,0.9617278982226146
3534,"Sorry, I'll call later",ham,ham,0.958921164706735
3406,"Jus chillaxin, what up",ham,ham,0.976851335938007
4081,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",ham,ham,0.9848823987467407
574,Waiting for your call.,ham,spam,0.24025246056218985
1272,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,ham,ham,0.9789807369564097
255,"I'm back, lemme know when you're ready",ham,ham,0.9655469030586721
4992,"We made it! Eta at taunton is 12:30 as planned, hope thatâs still okday?! Good to see you! :-xx",ham,ham,0.950127088433948
2582,Yup i'm elaborating on the safety aspects and some other issues..,ham,ham,0.941972304096301
5144,I'm in office now da:)where are you?,ham,ham,0.9733724853185276
1973,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march â¦ ish!,ham,ham,0.9670582768700737
3242,Ok i've sent u da latest version of da project.,ham,ham,0.9619069306678816
359,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",ham,ham,0.9781599396182683
1791,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,ham,ham,0.8975199724998876
758,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",ham,ham,0.9536404696661985
222,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham,ham,0.962719570449558
3336,"Sorry, got a late start, we're on the way",ham,ham,0.9779260411753077
4026, &lt;#&gt;  in mca. But not conform.,ham,ham,0.9862393411588137
4487,have * good weekend.,ham,ham,0.9306616701901298
1924,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,ham,ham,0.9544718033654304
3316,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",spam,spam,0.06683845421699469
383,Hey leave it. not a big deal:-) take care.,ham,ham,0.9801494417761336
4773,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",ham,ham,0.5126023510332066
1897,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,ham,ham,0.9745964486731286
1929,Call from 08702490080 - tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam,spam,0.17387689533267334
1745,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam,spam,0.14634242590277494
5189,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam,spam,0.13696843004612716
2025,U having lunch alone? I now so bored...,ham,ham,0.9305285956379851
4743,Ya very nice. . .be ready on thursday,ham,ham,0.9492781270412791
2090,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",ham,ham,0.9838849418399433
2282,"I hav almost reached. Call, i m unable to connect u.",ham,ham,0.80327492081733
2418,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,ham,ham,0.9781262335214584
5302,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,ham,ham,0.8901556062926379
