,X_test,y_test,y_pred,y_pred_proba
1078,"Yep, by the pretty sculpture",ham,ham,0.9925449772841521
4028,"Yes, princess. Are you going to make me moan?",ham,ham,0.9996808733318788
958,Welp apparently he retired,ham,ham,0.9963192159405544
4642,Havent.,ham,ham,0.9966170468024167
4674,I forgot 2 ask Ã¼ all smth.. There's a card on da present lei... How? Ã all want 2 write smth or sign on it?,ham,ham,0.9977766775761759
5461,Ok i thk i got it. Then u wan me 2 come now or wat?,ham,ham,0.9999483801459493
4210,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,ham,ham,0.9887992989358521
4216,No dear i was sleeping :-P,ham,ham,0.9954271179995603
1603,Ok pa. Nothing problem:-),ham,ham,0.9992955699361468
1504,Ill be there on  &lt;#&gt;  ok.,ham,ham,0.9998202244958397
1783,My uncles in Atlanta. Wish you guys a great semester.,ham,ham,0.9977897733808431
3465,My phone,ham,ham,0.9980641084033334
5534,Ok which your another number,ham,ham,0.9973822187857528
4267,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,ham,ham,0.9873975053253599
2498,Dai what this da.. Can i send my resume to this id.,ham,ham,0.9983943364363856
4259,I am late. I will be there at,ham,ham,0.9998346093660914
147,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,spam,7.583616762381289e-07
141,"K, text me when you're on the way",ham,ham,0.9895917637220699
4517,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,spam,2.68875949798053e-07
3053,Please leave this topic..sorry for telling that..,ham,ham,0.9896743046685071
5392,Ooooooh I forgot to tell u I can get on yoville on my phone,ham,ham,0.9953380186941245
2346,"Hi this is yijue, can i meet u at 11 tmr?",ham,ham,0.9972857829521966
1242,"I want to show you the world, princess :) how about europe?",ham,ham,0.9979962478035113
3224,Well that must be a pain to catch,ham,ham,0.9903788953146999
4872,Well. You know what i mean. Texting,ham,ham,0.9960684746508491
3044,Your bill at 3 is Â£33.65 so thats not bad!,ham,ham,0.992990915960641
1660,"Yeah, where's your class at?",ham,ham,0.9985664850074958
3214,What's ur pin?,ham,ham,0.9820118613405318
501,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham,ham,0.9290415108384179
1827,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",ham,ham,0.99910466253593
3352,At what time are you coming.,ham,ham,0.9996558090013639
2687,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,ham,ham,0.9989018808587699
1230,Jus ans me lar. U'll noe later.,ham,ham,0.999679913707542
4,"Nah I don't think he goes to usf, he lives around here though",ham,ham,0.9986460976541727
4507,When are you guys leaving?,ham,ham,0.9944627273346841
726,Got it! It looks scrumptious... daddy wants to eat you all night long!,ham,ham,0.9989564033585131
4323,Sorry . I will be able to get to you. See you in the morning.,ham,ham,0.9985394143326479
3534,"Sorry, I'll call later",ham,ham,0.9965494569346224
3406,"Jus chillaxin, what up",ham,ham,0.9989838373387618
4081,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",ham,ham,0.9998452078522604
574,Waiting for your call.,ham,spam,0.01416402866923852
1272,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,ham,ham,0.9998808858249315
255,"I'm back, lemme know when you're ready",ham,ham,0.9977360279026695
4992,"We made it! Eta at taunton is 12:30 as planned, hope thatâs still okday?! Good to see you! :-xx",ham,ham,0.9964505375288835
2582,Yup i'm elaborating on the safety aspects and some other issues..,ham,ham,0.9947295884263841
5144,I'm in office now da:)where are you?,ham,ham,0.99780702797147
1973,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march â¦ ish!,ham,ham,0.9986743873403594
3242,Ok i've sent u da latest version of da project.,ham,ham,0.9951683712892718
359,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",ham,ham,0.9996891538626154
1791,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,ham,ham,0.9140515919426431
758,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",ham,ham,0.997119292762498
222,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham,ham,0.9991205490054258
3336,"Sorry, got a late start, we're on the way",ham,ham,0.9994202331985937
4026, &lt;#&gt;  in mca. But not conform.,ham,ham,0.9996955042090747
4487,have * good weekend.,ham,ham,0.99370137730754
1924,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?,ham,ham,0.9958984688108807
3316,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",spam,spam,2.2377850874519845e-10
383,Hey leave it. not a big deal:-) take care.,ham,ham,0.9991346401120659
4773,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",ham,spam,0.008667769748885494
1897,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,ham,ham,0.9987095810792335
1929,Call from 08702490080 - tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam,spam,8.165399735922589e-08
1745,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam,spam,7.827627164800852e-09
5189,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam,spam,1.9279054783550876e-09
2025,U having lunch alone? I now so bored...,ham,ham,0.986832527042084
4743,Ya very nice. . .be ready on thursday,ham,ham,0.9929458935024161
2090,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",ham,ham,0.9999561243473999
2282,"I hav almost reached. Call, i m unable to connect u.",ham,ham,0.8669527766627683
2418,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,ham,ham,0.9989727649860041
5302,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,ham,ham,0.9253589665541636
2849,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,ham,0.9999671218588987
1573,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam,spam,6.572145041437576e-10
5567,"This is the 2nd time we have tried 2 contact u. U have won the Â£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam,spam,1.0488306073839923e-08
3375,Also andros ice etc etc,ham,ham,0.9519295207407173
1720,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,ham,ham,0.9995780705860038
582,Ok anyway no need to change with what you said,ham,ham,0.9988322558414366
1822,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,ham,ham,0.9986353716379298
4567,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,ham,ham,0.999511942657103
3338,I AM AT THE GAS STATION. GO THERE.,ham,ham,0.9994676012792654
